id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
76,Everlong,Foo Fighters,rock,energetic,0.88,158,0.42,0.42,0.00
77,Take Me Out,Franz Ferdinand,indie rock,energetic,0.75,105,0.36,0.42,0.01
78,Africa,Toto,rock,nostalgic,0.57,92,0.73,0.67,0.25
79,Livin' on a Prayer,Bon Jovi,rock,triumphant,0.78,122,0.55,0.53,0.05
80,Do I Wanna Know,Arctic Monkeys,indie rock,moody,0.42,85,0.40,0.55,0.19
81,Electric Feel,MGMT,indie,groovy,0.72,103,0.56,0.79,0.03
82,Feel It Still,Portugal. The Man,indie pop,groovy,0.75,159,0.83,0.71,0.19
83,Pumped Up Kicks,Foster the People,indie pop,moody,0.71,128,0.96,0.73,0.14
84,Sweater Weather,The Neighbourhood,indie,moody,0.60,124,0.40,0.61,0.04
85,The Less I Know the Better,Tame Impala,indie,groovy,0.74,117,0.79,0.64,0.02
86,Someday,The Strokes,indie rock,happy,0.72,110,0.80,0.56,0.02
87,Float On,Modest Mouse,indie rock,hopeful,0.66,154,0.72,0.60,0.10
88,Wake Me Up,Avicii,edm,uplifting,0.78,124,0.64,0.53,0.20
89,Levels,Avicii,edm,euphoric,0.89,126,0.62,0.58,0.01
90,Titanium,David Guetta,edm,triumphant,0.79,126,0.29,0.60,0.06
91,Clarity,Zedd,edm,euphoric,0.83,128,0.45,0.42,0.02
92,Animals,Martin Garrix,edm,intense,0.90,128,0.35,0.62,0.00
93,Don't You Worry Child,Swedish House Mafia,edm,euphoric,0.80,129,0.55,0.53,0.02
94,Strobe,Deadmau5,edm,dreamy,0.62,128,0.20,0.55,0.02
95,One More Time,Daft Punk,house,party,0.61,123,0.55,0.61,0.01
96,Get Lucky,Daft Punk,disco,groovy,0.81,116,0.86,0.79,0.04
97,Around the World,Daft Punk,house,groovy,0.72,121,0.62,0.80,0.02
98,Cruise,Florida Georgia Line,country,happy,0.83,145,0.70,0.60,0.10
99,Tennessee Whiskey,Chris Stapleton,country,romantic,0.35,96,0.40,0.45,0.55
100,The Gambler,Kenny Rogers,country,nostalgic,0.45,100,0.60,0.62,0.60
101,Jolene,Dolly Parton,country,melancholy,0.52,110,0.55,0.60,0.40
102,Take Me Home Country Roads,John Denver,folk,nostalgic,0.55,82,0.77,0.55,0.65
103,Wagon Wheel,Old Crow Medicine Show,folk,hopeful,0.60,150,0.70,0.55,0.55
104,Before He Cheats,Carrie Underwood,country,angry,0.72,148,0.55,0.58,0.20
105,The Sound of Silence,Simon & Garfunkel,folk,melancholy,0.30,106,0.30,0.45,0.85
106,Hallelujah,Jeff Buckley,folk,emotional,0.25,60,0.20,0.30,0.90
107,Fast Car,Tracy Chapman,folk,reflective,0.40,104,0.42,0.60,0.55
108,Ho Hey,The Lumineers,folk,happy,0.44,80,0.60,0.62,0.60
109,Riptide,Vance Joy,folk,happy,0.55,102,0.55,0.44,0.55
110,Skinny Love,Bon Iver,folk,melancholy,0.32,116,0.25,0.35,0.80
111,Feeling Good,Nina Simone,jazz,triumphant,0.42,130,0.35,0.30,0.60
112,Take Five,Dave Brubeck,jazz,relaxed,0.40,174,0.55,0.50,0.60
113,So What,Miles Davis,jazz,relaxed,0.35,138,0.40,0.45,0.70
114,What a Wonderful World,Louis Armstrong,jazz,hopeful,0.25,100,0.55,0.35,0.80
115,Fly Me to the Moon,Frank Sinatra,jazz,romantic,0.35,120,0.60,0.45,0.55
116,Clair de Lune,Claude Debussy,classical,dreamy,0.15,66,0.20,0.15,0.98
117,Nocturne in E-flat,Frederic Chopin,classical,melancholy,0.18,72,0.25,0.20,0.97
118,Canon in D,Johann Pachelbel,classical,hopeful,0.25,64,0.40,0.25,0.95
119,Four Seasons Spring,Antonio Vivaldi,classical,happy,0.40,110,0.55,0.30,0.92
120,Three Little Birds,Bob Marley,reggae,happy,0.55,76,0.85,0.72,0.30
121,Could You Be Loved,Bob Marley,reggae,happy,0.68,103,0.80,0.80,0.10
122,Despacito,Luis Fonsi,latin,party,0.79,89,0.85,0.66,0.21
123,Bailando,Enrique Iglesias,latin,party,0.78,92,0.78,0.68,0.20
124,Essence,Wizkid,afrobeats,romantic,0.60,108,0.60,0.75,0.20
125,Last Last,Burna Boy,afrobeats,moody,0.62,106,0.55,0.72,0.15
126,Enter Sandman,Metallica,metal,intense,0.88,123,0.30,0.50,0.00
127,Master of Puppets,Metallica,metal,aggressive,0.95,212,0.25,0.40,0.00
128,Chop Suey,System of a Down,metal,aggressive,0.96,127,0.40,0.40,0.00
129,Killing in the Name,Rage Against the Machine,metal,angry,0.90,92,0.45,0.50,0.00
130,Basket Case,Green Day,punk,energetic,0.90,170,0.85,0.45,0.00
131,American Idiot,Green Day,punk,angry,0.90,186,0.70,0.40,0.00
132,Dynamite,BTS,k-pop,happy,0.77,114,0.74,0.75,0.01
133,Butter,BTS,k-pop,flirty,0.46,110,0.70,0.76,0.10
134,How You Like That,BLACKPINK,k-pop,confident,0.80,130,0.50,0.80,0.02
135,Midnight City,M83,synthpop,dreamy,0.72,105,0.30,0.55,0.02
136,Nightcall,Kavinsky,synthwave,dark,0.62,121,0.30,0.70,0.02
137,Resonance,Home,synthwave,dreamy,0.55,120,0.40,0.65,0.10
138,Weightless,Marconi Union,ambient,calm,0.10,60,0.15,0.20,0.90
139,An Ending Ascent,Brian Eno,ambient,calm,0.12,60,0.20,0.15,0.95
